                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.438,                 5.2884,                 4.1152,                0.07729,                 0.1411,                0.03979,                0.01107,                 3.1068,                 5.4037,                 3.3018,               0.003324,               0.003324,               0.003324
                      2,                 2.9002,                 3.1288,                 2.7612,                0.38399,                0.39688,                0.32676,                0.09949,                 2.6001,                 2.1202,                 2.2514,              0.0066507,              0.0066507,              0.0066507
                      3,                 2.4812,                 2.1877,                  2.115,                0.47376,                0.51477,                0.48201,                0.20126,                 2.1462,                  1.724,                 1.8748,              0.0099709,              0.0099709,              0.0099709
                      4,                 2.0824,                 1.6846,                 1.7663,                0.74218,                0.64943,                0.69785,                0.33303,                 1.8802,                 1.4465,                 1.6421,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8734,                 1.4184,                 1.5775,                0.81535,                0.74711,                0.79912,                0.39873,                 1.8249,                  1.211,                 1.6446,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.7157,                  1.254,                 1.4865,                0.82189,                0.80964,                0.83185,                0.47817,                 1.5417,                 1.1422,                 1.3838,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.6312,                 1.1725,                 1.4166,                 0.8802,                0.77745,                0.85113,                0.48073,                 1.6041,                 1.0436,                 1.4517,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.5525,                 1.0756,                 1.3607,                  0.894,                0.81699,                0.87287,                0.52854,                 1.4789,                0.92654,                 1.3216,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.4939,                 1.0161,                 1.3196,                0.90696,                0.82791,                 0.8855,                0.52723,                 1.4898,                 0.9113,                  1.388,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.4449,                0.98414,                  1.313,                0.91988,                 0.8393,                0.89541,                0.55793,                 1.4039,                0.88095,                 1.3209,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.4099,                0.93109,                  1.277,                0.92584,                0.84938,                0.90632,                0.59424,                 1.3094,                0.78568,                 1.2359,               0.009901,               0.009901,               0.009901
                     12,                 1.3821,                0.91519,                 1.2611,                0.92054,                0.84106,                0.89976,                0.57905,                  1.316,                0.81532,                 1.2424,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.3387,                0.88297,                 1.2279,                 0.9334,                 0.8566,                0.91578,                0.59693,                  1.305,                0.77074,                  1.254,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.3074,                0.85547,                 1.2133,                0.94133,                 0.8761,                0.92268,                0.62038,                 1.2308,                0.72216,                 1.1873,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.2973,                0.84693,                 1.2239,                0.93925,                0.88087,                0.92508,                0.63139,                 1.2158,                0.70608,                 1.1812,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.2665,                0.82231,                 1.1933,                0.93938,                0.86445,                0.92209,                0.62412,                 1.2459,                0.71475,                 1.1959,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2276,                0.79817,                 1.1799,                0.95139,                0.88603,                0.93377,                0.65157,                  1.161,                 0.6699,                 1.1362,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.2279,                0.79081,                 1.1716,                0.93394,                0.88311,                0.93479,                0.64499,                 1.2068,                0.67724,                 1.1827,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2154,                0.77694,                 1.1629,                0.93855,                0.89691,                0.93414,                0.65581,                 1.1388,                0.65155,                 1.1276,              0.0098218,              0.0098218,              0.0098218
                     20,                  1.195,                  0.762,                   1.16,                0.96118,                0.89625,                0.94373,                0.66549,                 1.1282,                0.63321,                  1.127,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.1703,                0.74697,                 1.1444,                0.95632,                0.89557,                0.94151,                0.66419,                 1.1331,                0.63214,                 1.1194,               0.009802,               0.009802,               0.009802
                     22,                 1.1528,                 0.7395,                 1.1385,                 0.9526,                0.89655,                0.94369,                0.66974,                 1.1423,                0.63612,                 1.1368,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.1447,                0.72346,                 1.1391,                0.94981,                0.91081,                0.94407,                0.67723,                 1.0864,                0.60571,                 1.0953,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.1294,                0.72148,                 1.1274,                0.95614,                0.89493,                 0.9415,                0.68302,                 1.0724,                 0.6077,                 1.0897,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.1192,                 0.7063,                 1.1189,                0.94584,                0.89821,                0.94077,                0.68372,                  1.029,                0.60276,                  1.063,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.1165,                0.70418,                 1.1184,                0.96249,                0.90589,                0.94711,                0.69681,                 1.0464,                0.57951,                 1.0763,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.0984,                0.69326,                 1.1131,                0.96162,                0.89691,                0.94792,                0.69476,                 1.0489,                0.58623,                 1.0915,              0.0097426,              0.0097426,              0.0097426
                     28,                  1.078,                0.67482,                 1.0952,                0.94675,                0.91129,                0.94975,                0.69659,                 1.0303,                0.58933,                 1.0729,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.0852,                0.68379,                 1.1001,                 0.9614,                0.90931,                0.94839,                0.70246,                0.98942,                 0.5563,                  1.037,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.0723,                0.66857,                 1.0992,                0.96052,                0.91372,                0.94944,                0.71343,                0.98079,                0.55367,                 1.0343,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.0529,                0.65445,                  1.092,                0.95505,                0.90753,                0.94392,                0.70564,                 1.0125,                0.56184,                 1.0368,               0.009703,               0.009703,               0.009703
                     32,                 1.0447,                0.66138,                 1.0882,                0.96238,                0.91381,                0.94877,                0.71247,                0.98336,                0.54648,                 1.0442,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.0476,                0.64706,                 1.0783,                0.95507,                0.91353,                0.95269,                0.70977,                0.97392,                0.54416,                  1.017,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.0368,                0.64268,                 1.0849,                0.95429,                0.91935,                 0.9518,                0.71548,                0.97068,                0.54063,                 1.0254,              0.0096733,              0.0096733,              0.0096733
                     35,                  1.026,                0.63975,                 1.0728,                0.94661,                0.92453,                0.95091,                0.72613,                0.92816,                0.52492,                0.99082,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0136,                0.63282,                 1.0621,                0.97024,                0.91171,                0.95204,                0.73129,                0.93438,                0.52205,                 1.0071,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0195,                0.63655,                 1.0647,                0.95832,                0.91017,                0.95063,                0.72361,                0.94135,                 0.5273,                  1.001,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.001,                0.62201,                 1.0604,                0.95882,                0.91927,                0.95597,                0.73387,                0.92895,                0.51249,                0.98597,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0008,                0.61701,                 1.0592,                0.96889,                0.91039,                0.95308,                0.73698,                0.92004,                0.51402,                0.99801,              0.0096238,              0.0096238,              0.0096238
                     40,                0.98945,                0.61388,                  1.056,                0.96619,                0.91088,                 0.9522,                0.73149,                0.91176,                0.51119,                0.98482,              0.0096139,              0.0096139,              0.0096139
                     41,                0.98457,                0.60797,                 1.0548,                0.96726,                0.91244,                0.95317,                 0.7367,                0.89389,                0.50666,                0.97756,               0.009604,               0.009604,               0.009604
                     42,                0.97851,                0.60748,                 1.0537,                0.95905,                0.91718,                0.95099,                0.72858,                0.91052,                0.52077,                0.98815,              0.0095941,              0.0095941,              0.0095941
                     43,                0.97021,                0.59788,                 1.0497,                 0.9778,                0.91914,                0.95499,                0.74091,                  0.891,                0.49821,                0.97151,              0.0095842,              0.0095842,              0.0095842
                     44,                0.96176,                0.59327,                 1.0422,                0.95989,                0.92134,                0.95748,                0.75409,                0.86344,                0.48399,                0.96362,              0.0095743,              0.0095743,              0.0095743
                     45,                0.96245,                0.59626,                 1.0413,                0.96613,                0.92496,                0.95656,                0.74676,                0.87065,                0.48413,                0.96477,              0.0095644,              0.0095644,              0.0095644
                     46,                0.95753,                0.60245,                 1.0441,                 0.9635,                0.91916,                0.95599,                0.74979,                0.85767,                0.48761,                0.95328,              0.0095545,              0.0095545,              0.0095545
                     47,                0.94419,                0.57825,                 1.0374,                0.96894,                0.91931,                0.95709,                0.75102,                0.86819,                0.47651,                0.97317,              0.0095446,              0.0095446,              0.0095446
                     48,                0.95603,                0.58977,                 1.0415,                0.96917,                0.91952,                0.95547,                0.75014,                0.85762,                0.47404,                0.94806,              0.0095347,              0.0095347,              0.0095347
                     49,                0.93616,                0.57217,                 1.0297,                0.97075,                0.92149,                0.95415,                0.74771,                0.86997,                0.48246,                0.95561,              0.0095248,              0.0095248,              0.0095248
                     50,                0.92823,                0.56745,                 1.0237,                0.97263,                0.91336,                0.95477,                0.75295,                0.84227,                0.47402,                0.94754,              0.0095149,              0.0095149,              0.0095149
                     51,                0.92814,                0.56857,                 1.0222,                0.96801,                0.92707,                 0.9575,                0.75651,                0.85754,                0.46365,                 0.9524,               0.009505,               0.009505,               0.009505
                     52,                0.91997,                0.56404,                 1.0237,                0.97056,                0.91717,                0.95283,                0.75597,                 0.8346,                0.46514,                0.94173,              0.0094951,              0.0094951,              0.0094951
                     53,                0.92269,                0.56804,                 1.0228,                0.97027,                0.92753,                0.95904,                0.76575,                0.83757,                0.45813,                0.94012,              0.0094852,              0.0094852,              0.0094852
                     54,                0.92653,                0.56884,                 1.0225,                0.96407,                0.92696,                0.95721,                0.76329,                0.81744,                0.45343,                0.92833,              0.0094753,              0.0094753,              0.0094753
                     55,                  0.912,                0.56055,                 1.0179,                0.96201,                0.92895,                0.95747,                0.76158,                0.83738,                0.45105,                0.93799,              0.0094654,              0.0094654,              0.0094654
                     56,                0.90842,                0.55372,                 1.0122,                0.96482,                0.92846,                0.95887,                0.75961,                 0.8236,                0.45083,                0.93226,              0.0094555,              0.0094555,              0.0094555
                     57,                0.89978,                0.55884,                 1.0132,                0.97018,                0.92454,                0.95823,                  0.762,                0.81004,                0.45058,                0.92772,              0.0094456,              0.0094456,              0.0094456
                     58,                0.89854,                0.55298,                 1.0121,                 0.9623,                0.93245,                0.95777,                0.77112,                0.79678,                0.44367,                0.91246,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.8992,                0.55211,                 1.0109,                0.96566,                0.93023,                0.95776,                0.76589,                0.80596,                0.44748,                0.92857,              0.0094258,              0.0094258,              0.0094258
                     60,                0.89401,                0.54834,                   1.01,                0.96661,                0.92889,                0.96013,                0.76991,                0.80911,                0.43947,                0.92053,              0.0094159,              0.0094159,              0.0094159
                     61,                0.89057,                0.54153,                 1.0036,                0.96807,                0.93353,                0.95833,                0.76846,                0.80536,                0.43593,                 0.9157,               0.009406,               0.009406,               0.009406
                     62,                 0.8789,                0.54571,                 1.0078,                0.96769,                0.92922,                0.95942,                0.77547,                0.78695,                0.44037,                0.91353,              0.0093961,              0.0093961,              0.0093961
                     63,                0.87558,                0.53995,                 1.0026,                0.96207,                0.93088,                0.95843,                0.77163,                0.77739,                0.43661,                0.90834,              0.0093862,              0.0093862,              0.0093862
                     64,                0.87125,                0.53215,                0.99738,                0.96198,                0.93521,                0.95841,                0.77309,                0.78032,                0.43522,                0.90558,              0.0093763,              0.0093763,              0.0093763
                     65,                0.87635,                0.53789,                0.99926,                0.97228,                0.92836,                 0.9618,                0.78294,                0.77222,                0.42401,                0.90963,              0.0093664,              0.0093664,              0.0093664
                     66,                0.87756,                0.53733,                0.99634,                0.96742,                0.92717,                 0.9598,                 0.7788,                0.77687,                0.43614,                0.90247,              0.0093565,              0.0093565,              0.0093565
                     67,                0.86125,                0.52835,                0.99707,                0.96997,                0.93528,                0.96017,                0.78049,                0.76594,                0.42102,                0.90029,              0.0093466,              0.0093466,              0.0093466
                     68,                0.85795,                0.52462,                0.99354,                0.97439,                0.92708,                0.96091,                0.78265,                0.75734,                0.42052,                 0.8995,              0.0093367,              0.0093367,              0.0093367
                     69,                0.86032,                0.52561,                0.99254,                0.96999,                0.92856,                0.95938,                0.78289,                0.75028,                0.41898,                0.89421,              0.0093268,              0.0093268,              0.0093268
                     70,                0.86247,                0.52993,                0.99086,                0.96817,                0.93634,                0.96157,                0.78759,                0.74494,                0.41706,                0.89307,              0.0093169,              0.0093169,              0.0093169
                     71,                0.84797,                0.51672,                0.99193,                0.97261,                0.93451,                0.96109,                0.78774,                0.74724,                 0.4123,                 0.8929,               0.009307,               0.009307,               0.009307
                     72,                0.85232,                  0.524,                0.98901,                0.97023,                0.93667,                0.96047,                   0.79,                0.74565,                0.41538,                0.89317,              0.0092971,              0.0092971,              0.0092971
                     73,                 0.8493,                0.51966,                0.98856,                0.97201,                 0.9358,                 0.9602,                0.78984,                0.73283,                0.40833,                0.88572,              0.0092872,              0.0092872,              0.0092872
                     74,                0.83942,                0.51421,                0.98747,                0.96858,                0.93763,                0.96037,                0.79187,                0.73484,                0.40246,                0.88444,              0.0092773,              0.0092773,              0.0092773
                     75,                0.84517,                0.51537,                0.98452,                0.97588,                0.92617,                0.95741,                0.78375,                0.74437,                0.41165,                0.89196,              0.0092674,              0.0092674,              0.0092674
