                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4543,                 6.2876,                  3.918,                0.54464,                0.15547,                0.12912,                0.03173,                 3.0879,                 2.6559,                 2.4291,              0.0033271,              0.0033271,              0.0033271
                      2,                 2.8063,                 3.1099,                 2.4455,                0.67807,                0.34708,                0.35763,                0.11883,                 2.5258,                 1.7012,                 1.7396,              0.0066539,              0.0066539,              0.0066539
                      3,                 2.3907,                 2.1383,                 1.9065,                0.62159,                0.67687,                0.66467,                0.31085,                 2.0858,                  1.552,                 1.4567,               0.009974,               0.009974,               0.009974
                      4,                 2.0302,                 1.6559,                  1.588,                0.67361,                0.70464,                  0.736,                0.37247,                  1.894,                 1.3992,                 1.3401,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.7843,                 1.3564,                 1.4038,                0.81655,                0.80006,                0.83475,                0.50521,                 1.6995,                0.99228,                 1.1943,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.6053,                 1.1499,                 1.2944,                0.86586,                0.85946,                0.88156,                0.56284,                 1.5839,                 0.8647,                 1.1331,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.4953,                 1.0214,                 1.2179,                0.94307,                0.86315,                 0.9145,                 0.6229,                 1.4625,                0.79532,                 1.0799,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.4101,                0.94091,                 1.1758,                0.93433,                0.87961,                0.91545,                 0.6178,                 1.4101,                0.75532,                 1.0561,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3602,                0.89679,                 1.1437,                0.95686,                0.87925,                0.92204,                0.65312,                 1.3577,                 0.7049,                 1.0268,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.3048,                0.83866,                 1.1193,                0.95459,                0.88994,                0.92015,                0.65048,                 1.3126,                0.68527,                 1.0085,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2635,                0.80485,                 1.0988,                0.95079,                0.88944,                0.92741,                0.65761,                 1.3124,                0.68004,                 1.0036,               0.009901,               0.009901,               0.009901
                     12,                 1.2279,                0.77003,                 1.0732,                0.93583,                0.89904,                0.92942,                0.66228,                 1.2786,                0.64181,                0.99431,              0.0098911,              0.0098911,              0.0098911
