                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4199,                 5.6251,                 4.0443,                0.38872,                0.08742,                0.02824,                0.00667,                 2.4188,                 11.244,                 2.3641,              0.0033275,              0.0033275,              0.0033275
                      2,                 2.8443,                 3.1288,                  2.623,                0.21012,                0.35304,                0.15104,                0.05334,                  1.884,                 16.839,                  1.644,              0.0066543,              0.0066543,              0.0066543
                      3,                 2.3135,                 2.0918,                 1.9468,                0.25576,                0.46752,                0.21518,                0.09319,                 1.5843,                 4.8989,                 1.3947,              0.0099744,              0.0099744,              0.0099744
                      4,                 1.9849,                   1.65,                 1.6759,                 0.3034,                0.61998,                0.28534,                0.12063,                 1.5309,                  3.335,                 1.3416,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8201,                 1.4304,                 1.5467,                0.34891,                0.66601,                0.31877,                0.16263,                 1.3571,                 2.8743,                 1.1846,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.6967,                 1.2876,                 1.4673,                0.35167,                0.72282,                0.32238,                0.17599,                 1.2936,                 2.5058,                 1.1486,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.6184,                  1.187,                 1.4077,                0.35699,                0.75915,                0.34814,                0.19445,                 1.2076,                 2.4761,                 1.0756,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.5598,                 1.1417,                 1.3684,                0.36325,                0.81441,                0.36309,                0.21417,                 1.1556,                 1.9024,                 1.0296,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.5212,                  1.085,                 1.3366,                0.35704,                0.80197,                0.34616,                0.20512,                 1.1592,                 1.9655,                 1.0557,              0.0099208,              0.0099208,              0.0099208
                     10,                  1.472,                 1.0365,                   1.32,                0.35992,                0.81572,                0.35259,                0.21027,                 1.0785,                 2.5329,                 1.0132,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.4362,                 1.0112,                 1.2941,                0.36311,                0.84534,                0.35407,                0.21761,                 1.0654,                  2.745,                0.99643,               0.009901,               0.009901,               0.009901
                     12,                 1.4168,                0.98393,                 1.2829,                0.36707,                0.83306,                0.36521,                0.22051,                 1.0777,                 2.1397,                 1.0116,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.3934,                0.94585,                 1.2684,                0.37646,                0.82263,                0.36728,                0.22964,                 1.0425,                 2.1466,                0.99729,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.3514,                0.92472,                 1.2467,                 0.3748,                0.86253,                0.36642,                0.23116,                 1.0298,                 2.6109,                0.96102,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.3336,                0.90997,                 1.2411,                0.37305,                0.80975,                0.36825,                0.23383,                 1.0317,                 2.0499,                0.97387,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.3216,                0.89269,                  1.226,                0.36945,                0.84416,                0.36982,                0.23811,                0.99643,                 1.8214,                0.95976,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2954,                0.86371,                 1.2243,                0.37051,                0.82003,                0.36594,                0.23313,                0.99809,                  1.986,                0.96831,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.2905,                0.85269,                 1.2187,                0.36668,                 0.8208,                 0.3664,                0.24322,                0.96161,                 2.0494,                0.93123,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2568,                 0.8333,                 1.1971,                0.37616,                0.85506,                0.37704,                0.25114,                0.94179,                 1.9135,                0.90503,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.2568,                0.82678,                 1.1985,                0.37399,                0.83031,                0.37511,                0.25061,                0.93462,                 1.8064,                0.89676,              0.0098119,              0.0098119,              0.0098119
                     21,                  1.233,                0.81265,                 1.1812,                0.37972,                0.81974,                0.37863,                0.25534,                0.92252,                 1.7249,                0.89019,               0.009802,               0.009802,               0.009802
                     22,                 1.2228,                0.79684,                 1.1751,                0.37709,                0.88476,                0.38168,                0.26061,                0.91601,                 1.9439,                0.88701,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.2086,                0.79537,                 1.1699,                0.38644,                0.87839,                0.38281,                0.26361,                0.87969,                 2.3281,                0.87131,              0.0097822,              0.0097822,              0.0097822
                     24,                  1.189,                 0.7775,                 1.1601,                0.37298,                0.88092,                0.38236,                0.26176,                0.88132,                   2.05,                0.86909,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.1835,                0.76585,                 1.1567,                0.38073,                 0.8372,                0.38021,                0.26175,                0.88135,                 1.9651,                0.87242,              0.0097624,              0.0097624,              0.0097624
                     26,                  1.182,                0.76598,                 1.1545,                0.38204,                 0.8265,                0.38321,                0.26951,                0.86212,                 1.8059,                0.85821,              0.0097525,              0.0097525,              0.0097525
                     27,                  1.175,                0.75899,                 1.1453,                0.37788,                0.89989,                0.38151,                0.26474,                0.87598,                 2.0922,                0.86632,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.1555,                0.74061,                 1.1338,                0.37387,                0.80855,                0.37467,                0.26188,                0.85298,                 1.7028,                0.85684,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.1482,                0.73832,                 1.1337,                0.37328,                0.82815,                0.37721,                0.26961,                 0.8076,                   1.81,                0.82363,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.1395,                0.73556,                  1.138,                0.36869,                0.89857,                0.38062,                0.27127,                0.83182,                 1.8992,                0.83259,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.1365,                0.72386,                 1.1241,                0.37181,                0.88808,                0.37906,                0.27112,                 0.8156,                 1.7342,                 0.8233,               0.009703,               0.009703,               0.009703
                     32,                 1.1272,                0.72296,                 1.1209,                0.38073,                0.83313,                0.38127,                0.27511,                0.79793,                 1.8228,                0.81412,              0.0096931,              0.0096931,              0.0096931
                     33,                  1.126,                0.71914,                  1.119,                0.37779,                0.86578,                0.38721,                0.27889,                0.80839,                  1.818,                0.82082,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.1139,                0.70948,                 1.1136,                0.36391,                0.90296,                0.38362,                0.27851,                0.80024,                 1.7688,                0.81102,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.1101,                0.70668,                  1.117,                0.37796,                0.83649,                0.38306,                0.27789,                0.78939,                  1.776,                0.80965,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0892,                0.69726,                 1.1031,                0.37784,                 0.9261,                0.38565,                0.28283,                0.78575,                 1.8457,                0.79727,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0881,                0.69166,                 1.0981,                0.37929,                0.82685,                0.38381,                0.28115,                  0.779,                 1.7699,                0.80201,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.089,                0.69147,                 1.0968,                0.37496,                0.93129,                0.38989,                  0.284,                0.76598,                 1.7679,                0.79942,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0771,                0.67899,                 1.0895,                0.38165,                 0.8371,                0.38714,                0.28642,                0.75622,                 1.7107,                 0.7918,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0624,                0.67777,                 1.0896,                0.37545,                0.93123,                0.39059,                0.28986,                 0.7527,                  1.764,                0.78437,              0.0096139,              0.0096139,              0.0096139
