                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.2818,5.0999,3.7344,0.22944,0.24134,0.16426,0.04753,2.1579,12.187,1.974,0.0033298,0.0033298,0.0033298
2,2.5049,2.4244,2.2165,0.50792,0.56961,0.51795,0.23638,1.6642,5.3963,1.4191,0.0066566,0.0066566,0.0066566
3,1.9988,1.679,1.7199,0.7237,0.62491,0.6664,0.29462,1.5493,5.6507,1.3658,0.0099767,0.0099767,0.0099767
4,1.777,1.3873,1.5367,0.83979,0.77215,0.81646,0.44436,1.2892,3.3605,1.1575,0.0099703,0.0099703,0.0099703
5,1.625,1.1884,1.429,0.90176,0.81491,0.87464,0.5122,1.1883,2.625,1.0716,0.0099604,0.0099604,0.0099604
6,1.5237,1.0768,1.3624,0.89688,0.83277,0.88627,0.54208,1.15,3.3251,1.0416,0.0099505,0.0099505,0.0099505
7,1.4577,1.0117,1.319,0.91891,0.84588,0.89959,0.56554,1.0891,3.0133,1.0026,0.0099406,0.0099406,0.0099406
8,1.394,0.9512,1.2817,0.9294,0.86797,0.91734,0.60118,1.0252,2.6738,0.97364,0.0099307,0.0099307,0.0099307
9,1.3533,0.9175,1.2547,0.90206,0.88501,0.92087,0.60243,1.0284,2.78,0.9821,0.0099208,0.0099208,0.0099208
10,1.3194,0.88264,1.242,0.93037,0.87446,0.92635,0.62065,0.99106,1.917,0.95542,0.0099109,0.0099109,0.0099109
11,1.296,0.86577,1.2321,0.94267,0.888,0.93267,0.62869,0.95787,1.9264,0.92576,0.009901,0.009901,0.009901
12,1.2599,0.83393,1.2064,0.92892,0.88283,0.93242,0.63473,0.94981,2.628,0.92285,0.0098911,0.0098911,0.0098911
13,1.2378,0.80567,1.1985,0.9449,0.89134,0.93956,0.65141,0.92071,1.1744,0.9061,0.0098812,0.0098812,0.0098812
14,1.2156,0.78501,1.1834,0.94175,0.89268,0.94204,0.66213,0.90159,1.7986,0.89817,0.0098713,0.0098713,0.0098713
15,1.1929,0.7653,1.1722,0.94247,0.90475,0.94437,0.66685,0.89395,1.2203,0.88477,0.0098614,0.0098614,0.0098614
16,1.1835,0.75292,1.1646,0.95236,0.90071,0.94532,0.67314,0.88453,0.76758,0.87418,0.0098515,0.0098515,0.0098515
17,1.1642,0.73698,1.1517,0.95374,0.90925,0.94913,0.68335,0.86866,0.65569,0.87347,0.0098416,0.0098416,0.0098416
18,1.1458,0.72423,1.1466,0.95897,0.90302,0.9512,0.69639,0.83912,0.95569,0.85293,0.0098317,0.0098317,0.0098317
19,1.1326,0.71617,1.1433,0.95021,0.90947,0.95314,0.69981,0.82864,1.0991,0.84327,0.0098218,0.0098218,0.0098218
20,1.1238,0.70251,1.1292,0.96198,0.91108,0.95321,0.70762,0.80122,0.9956,0.82686,0.0098119,0.0098119,0.0098119
21,1.1107,0.69545,1.1257,0.96486,0.91417,0.95569,0.70983,0.79829,0.68176,0.82511,0.009802,0.009802,0.009802
22,1.0939,0.68085,1.1168,0.96222,0.92144,0.95585,0.71704,0.7784,0.57098,0.81276,0.0097921,0.0097921,0.0097921
23,1.0895,0.68032,1.1144,0.96521,0.91929,0.95649,0.71397,0.79134,0.56346,0.81877,0.0097822,0.0097822,0.0097822
