                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7023,                 5.3948,                 4.2886,                0.00064,                0.32432,                0.00164,                0.00053,                 4.7815,                 9.2143,                 4.1604,             0.00043342,             0.00043342,             0.00043342
                      2,                 3.4903,                 5.0079,                 4.1577,                0.00057,                0.32432,                0.00431,                0.00085,                  4.784,                 7.9607,                 4.1706,             0.00086602,             0.00086602,             0.00086602
                      3,                 3.4801,                 4.7919,                 3.9866,                0.00106,                0.14865,                0.00085,                0.00018,                 4.8183,                 7.6094,                 4.3011,              0.0012808,              0.0012808,              0.0012808
                      4,                  3.491,                 4.7623,                 3.8208,                0.00116,                 0.2027,                 0.0024,                0.00095,                 4.6288,                 5.6426,                 4.7085,               0.001568,               0.001568,               0.001568
                      5,                 3.2259,                 4.4454,                 3.5647,                0.00081,                 0.2973,                0.00229,                0.00063,                 4.5664,                 6.8331,                 4.1989,               0.001535,               0.001535,               0.001535
                      6,                 3.2434,                 4.1784,                 3.4032,                0.00072,                0.12162,                0.00164,                0.00044,                 4.5724,                 6.7174,                 4.2763,               0.001502,               0.001502,               0.001502
                      7,                 3.0941,                 4.0847,                 3.2965,                0.00219,                0.01351,                0.00286,                 0.0009,                 3.4615,                 6.5588,                 3.3273,               0.001469,               0.001469,               0.001469
                      8,                 3.0891,                 3.9891,                 3.2214,                0.00141,                0.62209,                0.02449,                0.01022,                 3.2817,                  6.054,                 2.9619,               0.001436,               0.001436,               0.001436
                      9,                 2.9935,                 3.8434,                 3.1291,                0.04289,                0.08621,                0.03074,                0.00747,                 3.0259,                 5.9273,                 2.8896,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.9954,                 3.6681,                 3.0946,                 0.5591,                0.13793,                0.03751,                0.00754,                 3.2715,                 5.5984,                 2.9821,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.9864,                  3.648,                 3.0349,                0.56752,                0.15517,                0.04124,                0.01218,                 2.8459,                  5.451,                  2.772,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.9665,                 3.6319,                 3.0233,                0.53745,                0.05172,                0.04602,                0.01507,                 2.6926,                 4.4694,                  2.677,              0.0013039,              0.0013039,              0.0013039
                     13,                  2.858,                 3.5476,                 2.9575,                 0.5798,                0.10345,                0.05901,                 0.0224,                 2.6392,                 4.4996,                 2.6193,              0.0012709,              0.0012709,              0.0012709
                     14,                  2.796,                 3.3896,                  2.946,                0.54192,                0.10345,                0.03758,                0.01527,                 2.7538,                 4.4142,                  2.653,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.8287,                 3.4514,                 2.9349,                 0.6452,                0.15517,                0.10066,                0.03912,                 2.6206,                  3.419,                 2.5423,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.8446,                  3.434,                 2.8716,                0.59841,                0.15517,                0.10512,                0.03639,                  2.579,                 4.0108,                 2.5513,              0.0011719,              0.0011719,              0.0011719
                     17,                  2.777,                 3.2672,                 2.8175,                0.58533,                0.19162,                0.11146,                0.04446,                 2.5027,                  3.945,                 2.4866,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.7585,                 3.3796,                 2.8284,                0.12023,                0.17241,                0.08588,                0.04462,                 2.4078,                 3.3536,                 2.5153,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.7361,                 3.3423,                  2.826,                0.53418,                0.08621,                0.03183,                0.01568,                 2.6214,                 3.5924,                 2.6208,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.7264,                 3.3177,                 2.7824,                0.62458,                0.18966,                0.08905,                0.03999,                 2.6731,                 3.4904,                 2.6258,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.6423,                 3.1477,                 2.7644,                0.64098,                0.13793,                0.09281,                0.04325,                 2.5635,                 3.5738,                  2.572,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.6755,                 3.1752,                 2.7923,                0.62893,                0.17241,                0.11984,                0.03955,                  2.596,                 3.4639,                 2.5647,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.6155,                 3.0772,                 2.7104,                0.65571,                0.17241,                 0.1303,                0.05242,                 2.5884,                 3.2319,                 2.5927,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.5962,                 3.1218,                 2.7099,                0.61961,                0.18966,                0.10669,                0.05217,                 2.4131,                 3.5143,                  2.478,             0.00090785,             0.00090785,             0.00090785
                     25,                  2.647,                 3.0773,                  2.719,                0.09778,                0.17241,                0.08848,                0.03305,                 2.8866,                 3.9319,                 2.6911,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.5854,                 3.0942,                 2.7414,                0.65186,                0.12803,                0.08965,                0.03332,                  2.675,                  3.513,                 2.6397,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.6225,                 3.0233,                 2.6746,                0.63157,                0.15517,                0.10705,                0.04922,                 2.5151,                  3.105,                 2.4571,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.5682,                 3.0293,                 2.6764,                 0.6386,                0.15517,                0.14308,                0.06383,                 2.5127,                 3.1978,                 2.4735,             0.00077582,             0.00077582,             0.00077582
                     29,                 2.5463,                 3.0603,                 2.6915,                 0.6935,                0.15249,                0.15484,                0.06016,                 2.7105,                 3.5474,                 2.5871,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.5627,                  3.029,                 2.6739,                0.65109,                0.19422,                0.14317,                0.06342,                 2.5736,                 3.2068,                 2.4826,             0.00070981,             0.00070981,             0.00070981
                     31,                 2.4445,                 2.8417,                 2.5549,                0.66513,                0.13793,                0.14087,                0.06452,                 2.7908,                 3.3193,                 2.6607,              0.0006768,              0.0006768,              0.0006768
                     32,                 2.4902,                 2.8946,                 2.6292,                0.63891,                0.13793,                0.13877,                0.05691,                 2.6052,                 3.2399,                 2.4854,              0.0006438,              0.0006438,              0.0006438
                     33,                 2.4909,                 2.8788,                 2.5729,                0.65555,                0.15517,                0.15373,                0.07182,                 2.5269,                  3.021,                 2.4863,             0.00061079,             0.00061079,             0.00061079
                     34,                 2.5191,                 2.9526,                 2.6049,                0.69969,                0.17241,                0.17122,                0.09087,                 2.3582,                 3.0099,                 2.3666,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.4533,                 2.8505,                 2.5893,                0.73636,                0.15517,                0.15474,                0.07053,                   2.48,                 2.9561,                 2.4242,             0.00054478,             0.00054478,             0.00054478
                     36,                  2.482,                   2.82,                 2.5945,                0.65821,                0.12069,                0.13293,                0.04744,                 2.6573,                 3.4132,                 2.5093,             0.00051177,             0.00051177,             0.00051177
                     37,                 2.5057,                 2.8018,                   2.58,                0.66184,                0.15517,                0.18104,                0.08026,                 2.6067,                 3.0182,                 2.4709,             0.00047876,             0.00047876,             0.00047876
                     38,                 2.4257,                 2.7886,                 2.5922,                0.65757,                0.17241,                0.18819,                0.08283,                 2.6454,                 3.1306,                 2.5434,             0.00044576,             0.00044576,             0.00044576
                     39,                 2.3857,                 2.8015,                 2.5246,                0.69801,                0.15517,                0.18665,                 0.0973,                 2.3525,                 3.2855,                 2.4111,             0.00041275,             0.00041275,             0.00041275
                     40,                 2.4883,                 2.7475,                 2.5677,                0.71717,                0.15517,                0.22829,                0.11253,                 2.4402,                  3.173,                 2.4436,             0.00037974,             0.00037974,             0.00037974
                     41,                 2.2823,                 2.9504,                 2.5003,                0.74411,                0.15517,                0.22059,                0.10215,                 2.5281,                 3.0285,                 2.5477,             0.00034674,             0.00034674,             0.00034674
                     42,                 2.2565,                 2.7137,                 2.4581,                0.33257,                0.31645,                0.21128,                 0.0984,                 2.5604,                 2.7491,                 2.5397,             0.00031373,             0.00031373,             0.00031373
                     43,                 2.1492,                 2.6582,                 2.4382,                 0.6296,                 0.3779,                0.27124,                0.12791,                  2.585,                 2.6077,                 2.5989,             0.00028072,             0.00028072,             0.00028072
                     44,                  2.087,                 2.5724,                 2.4167,                0.66531,                0.31034,                0.26431,                 0.1311,                 2.3752,                 2.6897,                 2.4507,             0.00024772,             0.00024772,             0.00024772
                     45,                 2.1574,                 2.5589,                 2.4323,                 0.6287,                0.36895,                0.25987,                 0.1368,                 2.2695,                 2.6342,                 2.3691,             0.00021471,             0.00021471,             0.00021471
