                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6796,                 7.6173,                 4.1572,                 0.0007,                0.31522,                0.00167,                0.00054,                 2.4497,                 21.039,                 2.8378,             0.00055273,             0.00055273,             0.00055273
                      2,                  3.215,                 5.2244,                 3.4259,                0.00233,                0.51847,                0.00843,                0.00288,                 2.3137,                 24.561,                 2.4773,              0.0011029,              0.0011029,              0.0011029
                      3,                 3.0923,                 4.1457,                  3.129,                0.58004,                0.12475,                0.04795,                0.01479,                  2.315,                 15.467,                 2.4565,              0.0016476,              0.0016476,              0.0016476
                      4,                 2.9441,                 3.7627,                 3.0296,                0.59823,                0.11798,                0.10031,                0.02611,                 2.2275,                 4.5633,                 2.3466,              0.0016422,              0.0016422,              0.0016422
                      5,                 2.8969,                 3.5558,                 2.9046,                0.59079,                0.17978,                0.08925,                0.02739,                  2.004,                 7.7836,                 2.3297,               0.001634,               0.001634,               0.001634
                      6,                 2.7673,                 3.3574,                 2.8365,                0.11631,                 0.1882,                0.12129,                0.04721,                 1.9595,                  3.978,                 2.2667,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.6636,                 3.2034,                  2.751,                0.65013,                0.20506,                 0.1298,                 0.0548,                  1.915,                 6.3986,                 2.2006,              0.0016175,              0.0016175,              0.0016175
                      8,                  2.599,                 3.0775,                 2.6992,                0.69273,                0.21348,                 0.2283,                0.08868,                 1.9793,                 3.9031,                 2.3799,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.5338,                 2.9612,                 2.6425,                0.65642,                0.21356,                0.13444,                0.04379,                 2.0232,                 3.6839,                 2.3024,               0.001601,               0.001601,               0.001601
                     10,                 2.4494,                 2.7973,                 2.5452,                0.19791,                0.30997,                0.19091,                0.06572,                 2.1044,                 3.3939,                 2.3219,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.3639,                 2.8138,                 2.5147,                0.15229,                0.24667,                0.10506,                0.04762,                 2.0093,                 7.1664,                 2.2661,              0.0015845,              0.0015845,              0.0015845
                     12,                 2.3439,                 2.7404,                 2.4697,                0.40167,                0.28832,                0.18422,                0.08455,                  2.021,                  4.256,                 2.2492,              0.0015762,              0.0015762,              0.0015762
                     13,                  2.287,                 2.6218,                 2.3983,                0.38185,                0.30127,                0.23084,                 0.0986,                 2.0526,                 3.7396,                 2.2279,               0.001568,               0.001568,               0.001568
                     14,                 2.2022,                 2.5056,                 2.3293,                0.47697,                0.27922,                0.31005,                0.14632,                 1.9171,                 3.4561,                 2.2378,              0.0015597,              0.0015597,              0.0015597
                     15,                   2.14,                 2.4396,                 2.3045,                0.75198,                0.21067,                0.23406,                0.12242,                 1.9513,                 6.8998,                 2.2064,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.1344,                 2.4243,                 2.2821,                0.75895,                0.20787,                0.30588,                0.13212,                 1.9729,                  5.097,                 2.4255,              0.0015432,              0.0015432,              0.0015432
                     17,                 2.1054,                 2.3139,                 2.2613,                0.90629,                0.22753,                0.32229,                 0.1767,                 1.8844,                 4.8306,                 2.1856,               0.001535,               0.001535,               0.001535
                     18,                 2.0805,                 2.3341,                  2.246,                0.89746,                   0.25,                0.36061,                0.20588,                 1.7757,                  3.634,                 2.0309,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.9984,                 2.2529,                 2.1808,                0.49128,                 0.4389,                0.43242,                0.23847,                 1.8276,                 2.8967,                 2.0517,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.0044,                 2.2715,                 2.1849,                0.33599,                0.42349,                0.35626,                0.20062,                 1.8507,                 4.3795,                 2.1616,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.9355,                  2.137,                 2.1054,                0.58604,                0.36925,                0.44668,                0.26027,                 1.7582,                 3.6353,                 2.0425,               0.001502,               0.001502,               0.001502
                     22,                 1.9144,                 2.1444,                 2.1642,                 0.4994,                0.41126,                 0.4549,                0.25001,                 1.9877,                 3.2464,                 2.2698,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.8809,                 2.0883,                 2.0853,                0.39279,                0.43845,                0.46296,                0.24924,                  1.822,                 4.2505,                 2.2143,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.8893,                 2.0562,                 2.1093,                0.45311,                0.43228,                0.48632,                0.28286,                 1.8837,                 2.8293,                 2.2509,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.8231,                 2.0218,                 2.0404,                0.56488,                0.35247,                0.45986,                 0.2655,                 1.7166,                 3.1343,                 1.9949,               0.001469,               0.001469,               0.001469
                     26,                 1.8339,                 2.0384,                 2.0577,                0.82824,                 0.3296,                0.48459,                0.28307,                 1.8171,                 2.7696,                 2.5728,              0.0014607,              0.0014607,              0.0014607
