                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4379,                 9.6535,                  4.118,                 0.0002,                0.11111,                0.00018,                  7e-05,                 2.8247,                 13.777,                 3.7696,             0.00047316,             0.00047316,             0.00047316
                      2,                 3.1115,                 7.1961,                 3.7121,                0.00066,                0.24837,                0.00098,                0.00033,                 2.2353,                 8.1224,                  3.538,             0.00094009,             0.00094009,             0.00094009
                      3,                 2.8493,                 5.3979,                 3.3506,                0.00084,                0.23203,                0.02731,                 0.0196,                 1.8419,                 5.8258,                 2.8565,              0.0013976,              0.0013976,              0.0013976
                      4,                 2.7633,                 4.7689,                 3.1868,                0.00048,                0.28105,                0.00238,                0.00081,                 1.9183,                 5.2075,                 2.8097,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.7858,                 4.5689,                 3.0829,                0.00086,                0.26471,                0.00637,                0.00238,                 1.9752,                 4.3266,                  2.735,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.8553,                 4.3765,                  3.122,                0.00296,                0.06209,                0.00947,                0.00288,                 2.1888,                 4.1614,                 2.6804,              0.0013583,              0.0013583,              0.0013583
                      7,                 3.1021,                 4.1759,                  2.747,                0.00196,                0.31642,                0.04045,                0.01093,                 2.8564,                 4.0298,                 2.2554,              0.0013441,              0.0013441,              0.0013441
                      8,                 3.2432,                 3.8297,                  2.334,                0.71199,                 0.0497,                 0.0325,                0.00639,                  3.152,                 3.7083,                 2.0563,                0.00133,                0.00133,                0.00133
                      9,                 3.2351,                 3.4227,                 2.2088,                0.71768,                0.13212,                0.05674,                0.01719,                 3.0641,                 3.0795,                  2.009,              0.0013158,              0.0013158,              0.0013158
                     10,                    3.1,                 3.2076,                 2.0588,                0.56212,                0.21182,                0.12671,                0.04026,                 2.5516,                 2.7948,                 1.7618,              0.0013017,              0.0013017,              0.0013017
